respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3520944863,Under 30,Male,Solo,Under 5,2 to 4,Average,Boots,35 to 40,16 to 20%,12 to 14,Somewhat,Attempted
3519913594,30 to 39,Male,Group of 2+,6 to 10,5 to 8,Out of shape,Boots,45 to 50,16 to 20%,12 to 14,Somewhat,Attempted
3660699569,Under 30,Male,Group of 2+,11 to 20,9 to 16,Average,Hiking shoes,30 to 35,16 to 20%,10 to 12,Minimally,Attempted
3525072011,40 to 49,Male,Solo,21 to 50,9 to 16,Above avg.,Trail runners,30 to 35,16 to 20%,16 to 18,Somewhat,Summited
3522928893,60 and up,Male,Group of 2+,21 to 50,5 to 8,Sig. above avg.,Boots,30 to 35,16 to 20%,10 to 12,Minimally,Summited
3522813842,60 and up,Male,Group of 2+,Over 100,Over 16,Sig. above avg.,Boots,35 to 40,16 to 20%,10 to 12,Minimally,Attempted
3660690158,60 and up,Male,Group of 2+,Over 100,Over 16,Sig. above avg.,Boots,35 to 40,16 to 20%,12 to 14,Not at all,Summited
3519902965,30 to 39,Male,Group of 2+,21 to 50,Over 16,Above avg.,Trail runners,35 to 40,16 to 20%,20 and up,Fairly,Summited
3520220619,50 to 59,Male,Group of 2+,11 to 20,2 to 4,Average,Boots,35 to 40,16 to 20%,8 to 10,Somewhat,Not planned
3528855206,50 to 59,Male,Group of 2+,21 to 50,Over 16,Above avg.,Trail runners,35 to 40,16 to 20%,10 to 12,Minimally,Not planned
3519980086,50 to 59,Male,Group of 2+,11 to 20,9 to 16,Above avg.,Trail runners,35 to 40,16 to 20%,12 to 14,Very,Not planned
3520068532,40 to 49,Male,Group of 2+,6 to 10,5 to 8,Below avg.,Hiking shoes,35 to 40,16 to 20%,8 to 10,Fairly,Not planned
3543057874,50 to 59,Male,Group of 2+,21 to 50,9 to 16,Above avg.,Boots,35 to 40,16 to 20%,12 to 14,Somewhat,Summited
3520081106,50 to 59,Male,Solo,Over 100,5 to 8,Above avg.,Trail runners,30 to 35,16 to 20%,14 to 16,Not at all,Not planned
